ISBN,Title,Authors,Publisher,Published Date,Rating,Review Count
0312970242,Deepak Chopra's The Angel is Near,"['Deepak Chopra', 'Martin Greenberg']",Macmillan,2000-08-15,,
1853260053,Tess of the D'Urbervilles,['Thomas Hardy'],Wordsworth Editions,1992,,
0060938412,The Accidental Virgin,['Valerie Frankel'],William Morrow Paperbacks,2003,3.0,5.0
0140067477,The Tao of Pooh,['Benjamin Hoff'],Penguin Group USA,1983,3.5,79.0
0345465083,Seabiscuit,['Laura Hillenbrand'],"Random House Digital, Inc.",2003,4.0,20.0
1558531025,Life's Little Instruction Book,['H. Jackson Brown'],,1991,4.0,3.0
0441783589,Starship Troopers,['Robert Anson Heinlein'],Ace,1987,4.0,15.0
0394895894,The Ruby in the Smoke,['Philip Pullman'],Random House of Canada,1985,3.5,50.0
1569871213,Black Beauty,['Anna Sewell'],Landoll,1995,,
0375410538,Anil's Ghost,['Michael Ondaatje'],Knopf,2000,3.5,42.0
0743403843,Decipher,['Stel Pavlou'],Simon & Schuster (Trade Division),2001,4.0,7.0
0060930365,My First Cousin Once Removed,['Sarah Payne Stuart'],Harper Perennial,1999-10-20,,
0060177586,Standing Firm,['Dan Quayle'],Harpercollins,1994,3.0,2.0
0071416331,Team Bush,['Donald F. Kettl'],McGraw Hill Professional,2003-02-19,,
0375509038,The Right Man,['David Frum'],Random House Incorporated,2003,3.0,1.0
0553062042,The Daybreakers,"[""Louis L'Amour""]",,1981,3.5,9.0
0316769487,The Catcher in the Rye,['J.D. Salinger'],"Little, Brown",1991-05-01,3.5,2725.0
8445071777,El retorno del rey,['John Ronald Reuel Tolkien'],Distribooks,1991,,
0679429220,Midnight in the Garden of Good and Evil,['John Berendt'],Random House,1994-01-13,3.5,167.0
0671867156,Pretend You Don't See Her,['Mary Higgins Clark'],Simon and Schuster,1997,3.0,9.0
0312252617,Fast Women,['Jennifer Crusie'],St Martins Press,2001,3.5,27.0
0312261594,Female Intelligence,['Jane Heller'],St. Martin's Press,2001-04-21,3.5,3.0
0316748641,Pasquale's Nose,['Michael Rips'],Back Bay Books,2002-04-09,4.0,1.0
0316973742,The Gospel of Judas,['Simon Mawer'],Back Bay Books,2002-05-08,4.0,5.0
0446677450,"Rich Dad, Poor Dad","['Robert T. Kiyosaki', 'Sharon L. Lechter']",Business Plus,2000,4.0,86.0
0451166892,The Pillars of the Earth,['Ken Follett'],Penguin Books,1990-07-09,3.5,3330.0
0553347594,McDonald's,['John F. Love'],Bantam,1995,4.0,3.0
0671621009,Creating Wealth,['Robert G. Allen'],Touchstone,1986,3.5,2.0
067976397X,Corelli's Mandolin,['Louis de Bernieres'],Vintage,1995-08-29,2.5,25.0
0684822733,"Love, Miracles, and Animal Healing","['Allen M. Schoen', 'Pam Proctor']",Fireside,1996,4.0,1.0
0786868716,The Five People You Meet in Heaven,['Mitch Albom'],Hyperion,2003-09-23,3.5,256.0
8472238822,Tu nombre escrito en el agua,['Irene González Frei'],,1995,4.0,1.0
0671864769,Relics,['Michael Jan Friedman'],Pocket Books/Star Trek,1992,4.0,2.0
0440222303,"The Touch of Your Shadow, the Whisper of Your Name","['Neal Barrett', 'J. Michael Straczynski']",Dell Publishing Company,1996,,
0312953453,Blood Oath,['David Morrell'],Macmillan,1994-10-15,3.5,2.0
0446608653,The Alibi,['Sandra Brown'],Grand Central Publishing,2000-08-01,3.5,14.0
0446612618,A Kiss Remembered,['Sandra Brown'],Grand Central Publishing,2003-04-01,2.5,7.0
0451208080,The Short Forever,['Stuart Woods'],National Geographic Books,2003-01-28,4.0,9.0
0553584383,Dead Aim,['Iris Johansen'],National Geographic Books,2004-03-02,3.0,5.0
0671027360,Angels & Demons,['Dan Brown'],Pocket Star,2001,3.5,424.0
0812575954,The Deal,['Joe Hutsko'],Forge Books,2000-01-27,5.0,1.0
0316735736,All He Ever Wanted,['Anita Shreve'],Back Bay Books,2004-01-20,3.0,42.0
0743439740,Every Breath You Take,['Ann Rule'],Pocket Books,2002-12-01,4.5,5.0
0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",['Lewis Grizzard'],Ballantine Books,1991-12-13,,
0380619458,The Mosquito Coast,['Paul Theroux'],Avon Books,1986,4.5,2.0
0446325805,"If Love Were Oil, I'd Be About a Quart Low",['Lewis Grizzard'],Grand Central Pub,1994-05-01,,
0451406923,"Goodbye, My Little Ones","['Charles Hickey', 'Todd Lighty', ""John O'Brien""]",Onyx Books,1996,5.0,1.0
0671042858,The Girl Who Loved Tom Gordon,['Stephen King'],Pocket Books,1999,3.5,103.0
0743249992,Bringing Down the House,['Ben Mezrich'],Simon and Schuster,2003-09-15,4.0,10.0
0840734530,The Oneprince,['Bill Hand'],Thomas Nelson Incorporated,1992,5.0,1.0
0425184226,The Sum of All Fears,['Tom Clancy'],Berkley,1991,3.0,1.0
0375500766,Care Packages,['Dana Reeve'],Random House Incorporated,1999,4.0,1.0
9724119378,O Deus das pequenas coisas,"['Arundhati Roy', 'Teresa Casal']",,2002,,
0451205197,Lady in Green and Minor Indiscretions,['Barbara Metzger'],Signet,2002-01-25,,
0060976845,Little Altars Everywhere,['Rebecca Wells'],Harper Paperbacks,1996,4.0,22.0
0061099325,Coyote Waits,['Tony Hillerman'],Harper Collins,1992-12,3.5,9.0
0671004573,Before I Say Good-Bye,['Mary Higgins Clark'],Pocket Books,2001-04-01,2.5,9.0
0446601640,Slow Waltz in Cedar Bend,['Robert James Waller'],Grand Central Pub,1994,3.5,50.0
0330484516,20-Minute Retreats,['Rachel Harris'],,2001,,
038572179X,Atonement,['Ian McEwan'],Anchor,2003-02-25,3.5,177.0
0393020371,Next,['Michael M. Lewis'],W. W. Norton & Company,2001,4.0,3.0
1900850303,The Angelic Darkness,['Richard Zimler'],,2000,,
1903019699,The Soulbane Stratagem,['Norman Jetmundsen'],John Hunt Pub,2004,,
0345425294,Gangster,['Lorenzo Carcaterra'],National Geographic Books,2002-07-30,5.0,1.0
0451410319,Hush,['Anne Frasier'],Onyx Books,2002,4.5,5.0
0553583468,Whisper of Evil,['Kay Hooper'],National Geographic Books,2002-06-25,3.5,6.0
8420639133,Temor y temblor,"['Søren Kierkegaard', 'Vicente Simón Merchán']",Alianza Editorial Sa,2005,,
8476409419,Estudios sobre el amor,"['José Ortega y Gasset', 'Jose Luís Molinuevo']",EDAF,1995,,
0380778556,Rebecca,['Daphne Du Maurier'],Avon,1994-11-01,4.0,1077.0
0451525221,The Scarlet Letter,"['Nathaniel Hawthorne', 'Leo Marx']",Signet Classics,1988,3.0,31.0
0002740230,Keep It Simple,['Nick Page'],Fount,1998-12,5.0,1.0
0385336772,Diary of a Mad Mom-to-be,['Laura Wolf'],Delta,2003,3.5,3.0
0440949424,Locked in Time,['Lois Duncan'],Laurel Leaf,1986,4.0,17.0
0505524996,Contact,['Susan Grant'],,2002,,
0140252800,The Brimstone Wedding,['Barbara Vine'],Penguin UK,1996,4.0,4.0
0451452755,The Catswold Portal,['Shirley Rousseau Murphy'],Roc,1993,4.0,2.0
0812575482,Through Wolf's Eyes,['Jane Lindskold'],Tor Fantasy,2002-06-17,3.5,17.0
044651747X,Puerto Vallarta Squeeze,['Robert James Waller'],Grand Central Publishing,1995-10-26,4.0,2.0
0060801263,A Tree Grows in Brooklyn,['Betty Smith'],HarperCollins Publishers,1947,4.5,32.0
0061030147,Cybill Disobedience,"['Cybill Shepherd', 'Aimee Lee Ball']",Avon Books,2001,2.0,10.0
0140250964,Snow Angels,"[""Stewart O'Nan""]",Penguin Mass Market,1995,3.0,10.0
0446527165,Wish You Well,['David Baldacci'],Grand Central Publishing,2000-10-24,4.0,40.0
0671461494,The Hitchhiker's Guide to the Galaxy,['Douglas Adams'],,1981,4.0,3410.0
0385337639,Crow Lake,['Mary Lawson'],Dial Press Trade Paperback,2003-01-13,3.5,5.0
039575514X,My Ántonia,['Willa Cather'],Houghton Mifflin Harcourt,1995,4.5,10.0
0451206673,Pen Pals,['Olivia Goldsmith'],Penguin,2002,,
0330332775,Bridget Jones's Diary,['Helen Fielding'],Pan Macmillan Adult,1997,3.5,2977.0
0486284735,Pride and Prejudice,['Jane Austen'],Courier Corporation,1995-01-01,4.5,7.0
0671021745,Eye on Crime,['Franklin W. Dixon'],Simon & Schuster/Paula Wiseman Books,1998,,
0671047612,Skin & Bones,['Franklin W. Dixon'],Simon & Schuster/Paula Wiseman Books,2000,,
0671504282,Law of the Jungle,['Franklin W. Dixon'],Simon Pulse,1995,,
0399138684,The Cat who Came to Breakfast,['Lilian Jackson Braun'],Putnam Publishing Group,1994,4.0,7.0
0785263292,"If Singleness Is a Gift, What's the Return Policy?","['Holly Virden', 'Michelle McKinney Hammond']",Thomas Nelson Incorporated,2003,5.0,2.0
0830714014,Always Daddy's Girl,['H. Norman Wright'],Baker Publishing Group,1989,,
0345354931,Night Mare,['Piers Anthony'],National Geographic Books,1987-12-12,4.0,5.0
0553278223,The Martian Chronicles,['Ray Bradbury'],,1977,4.0,12.0
3257203659,Der illustrierte Mann,['Ray Bradbury'],,1977,,
3257208626,Fahrenheit 451[vierhunderteinundfünfzig],['Ray Bradbury'],Distribooks Incorporated,1981,5.0,1.0
3257208634,Die Mars-Chroniken,['Ray Bradbury'],,1981,5.0,1.0
3257208669,Das Böse kommt auf leisen Sohlen,['Ray Bradbury'],,1981,,
3257210450,Löwenzahnwein,['Ray Bradbury'],,1983,,
3257212054,Das Kind von morgen,['Ray Bradbury'],,2000,2.0,1.0
3257212429,Die Mechanismen der Freude,['Ray Bradbury'],,1985,,
3257214154,Familientreffen,['Ray Bradbury'],,1986,,
3257216416,Der Tod kommt schnell in Mexico,['Ray Bradbury'],,1988-01,,
3257233051,Veronika beschliesst zu sterben,['Paulo Coelho'],Distribooks,2002-01,,
342311360X,Die Liebe in den Zeiten der Cholera,['Gabriel García Márquez'],,1990,,
3423116714,Die Klone der Joanna May,"['Fay Weldon', 'Sigrid Ruschmeier']",,1993,,
3423241489,Ist mein Hintern wirklich so dick?,['Arabella Weir'],,1998,,
3426605686,Haifischfrauen,['Kiana Davenport'],,1996,,
3453212150,Die Cappuccino-Jahre,['Sue Townsend'],,2002,,
3462021095,Schwarzer Tee mit drei Stück Zucker,['Renan Demirkan'],,1991,,
3492045642,Querschüsse,['Michael Moore'],,2003,,
3498020862,Die Korrekturen,['Jonathan Franzen'],,2002,,
3499110695,Neun Erzählungen,['Jerome D. Salinger'],,1974,,
3499151502,"Hebt den Dachbalken hoch, Zimmerleute und Seymour wird vorgestellt",['Jerome D. Salinger'],,1983,3.0,1.0
3518111000,Ulysses,['James Joyce'],,1986,,
3548254268,Eine ganz normale Affäre,['Joanna Trollope'],,2002,,
3570300099,"Das Intimleben des Adrian Mole, 13 3/4 Jahre",['Sue Townsend'],,2002,,
3596292646,Das Buch der lächerlichen Liebe,['Milan Kundera'],,1989,4.0,2.0
0060977493,The God of Small Things,['Arundhati Roy'],HarperCollins,1998-05-06,4.5,5.0
0312872682,The James Dean Affair,['Robert S. Levinson'],Forge Books,2000,,
0316693006,Four Blind Mice,['James Patterson'],Little Brown & Company,2002,4.0,30.0
0345311396,Private Screening,['Richard North Patterson'],Ballantine Books,1986-06-12,3.5,4.0
0345378490,Congo,['Michael Crichton'],Del Rey,1993,3.0,39.0
0345404793,Protect and Defend,['Richard North Patterson'],Ballantine Books,2000,4.0,7.0
0345433173,The Tall Pine Polka,['Lorna Landvik'],,1999,3.5,9.0
0375400117,Memoirs of a Geisha,['Arthur Golden'],Knopf,1997,4.0,1619.0
0375705856,Plainsong,['Kent Haruf'],Vintage,1999,4.0,114.0
0380718332,All That Remains,['Patricia Cornwell'],Avon,1993-07-01,3.0,7.0
0380754509,The Case of the Lost Lookalike,['Carol J. Farley'],,1988,4.0,1.0
038076654X,Petals on the River,['Kathleen E. Woodiwiss'],William Morrow Paperbacks,1997-12-01,4.0,5.0
0380807866,The Elusive Flame,['Kathleen E. Woodiwiss'],Avon,1999-05-01,5.0,1.0
0385316895,Legacy of Silence,['Belva Plain'],,1998,,
0385497466,The Brethren,['John Grisham'],National Geographic Books,2000-02-01,3.5,37.0
0385508042,The King of Torts,['John Grisham'],Doubleday,2003-02-04,3.5,33.0
0385509456,The Curious Incident of the Dog in the Night-time,['Mark Haddon'],Random House LLC,2003,3.5,3825.0
0385511612,Bleachers,['John Grisham'],Doubleday,2003-09-09,3.5,7.0
0385730586,The Sisterhood of the Traveling Pants,['Ann Brashares'],Ember,2003,4.0,194.0
0425164403,Only Love,['Erich Segal'],Berkley Publishing Group,1998,3.0,1.0
0440234964,All or Nothing,['Elizabeth Adler'],National Geographic Books,2000-09-12,3.0,1.0
0449006522,The Manhattan Hunt Club,['John Saul'],National Geographic Books,2002-04-30,3.5,8.0
0449911004,Patty Jane's House of Curl,['Lorna Landvik'],Ballantine Books,1996-09-03,3.5,16.0
0451162072,Pet Sematary,['Stephen King'],New Amer Library,1984,4.0,2931.0
0451186648,Silent Snow,['Steve Thayer'],Signet Book,2000-08-28,3.0,1.0
0452282152,Girl with a Pearl Earring,['Tracy Chevalier'],Plume,2003,3.5,2869.0
051513290X,Summer of Storms,['Judith Kelman'],Jove Publications,2002,,
0553580388,The Patient,['Michael Palmer'],Bantam,2001,3.0,8.0
0590598848,Demona's Revenge,['Francine Hughes'],Scholastic Paperbacks,1995,,
0590629719,Clifford's Sports Day,['Norman Bridwell'],Cartwheel Books,1996,,
0671027387,Deception Point,['Dan Brown'],,2002,3.5,3245.0
0684848783,Tis,['Frank McCourt'],Scribner,1999-09-21,,
0786863986,A Monk Swimming,['Malachy McCourt'],Hachette Books,1998-05-27,,
0803251718,Crazy Horse,['Mari Sandoz'],Bison Books,1942,,
0804117934,The Silent Cry,['Anne Perry'],"Random House Digital, Inc.",1998,3.0,5.0
140003180X,The Kalahari Typing School for Men,['Alexander McCall Smith'],National Geographic Books,2004-03-09,3.5,46.0
155874262X,Chicken Soup for the Soul,"['Jack Canfield', 'Mark Victor Hansen']",Hci,1993,4.0,14.0
0060987103,Wicked,['Gregory Maguire'],Harper Collins,1996-09-27,3.0,528.0
0151008116,Life of Pi,['Yann Martel'],Houghton Mifflin Harcourt,2001,3.5,2838.0
0375704965,A Judgement in Stone,['Ruth Rendell'],Vintage Crime/Black Lizard,2000,4.0,14.0
0525947647,Lies (and the Lying Liars who Tell Them),['Al Franken'],Dutton Adult,2003,3.5,42.0
0804111359,The Secret History,['Donna Tartt'],Ballantine Books,1993,3.5,281.0
1558744150,Chicken Soup for the Woman's Soul,"['Jack Canfield', 'Mark Victor Hansen', 'Jennifer Read Hawthorne', 'Marci Shimoff']",Hci,1996,3.5,5.0
0435272683,Great Expectations,"['Charles Dickens', 'Florence Bell']",Delta Systems Company Incorporated,1993,,
0316782505,The Weight of Water,['Anita Shreve'],Lb Books,2001,3.5,25.0
006102063X,Moving Pictures,['Terry Pratchett'],HarperTorch,2002-02-05,3.5,55.0
0060013117,Night Watch,['Terry Pratchett'],Harper,2002-11-05,4.5,74.0
0060199563,Thief of Time,['Terry Pratchett'],Harper,2001-04-24,4.0,53.0
006052779X,Charlotte's Web Book and Charm,"['E. B. White', 'Kate DiCamillo']",Festival,2003-06-03,3.0,1.0
0060563079,Peter Pan: The Original Story,['J. M. Barrie'],HarperFestival,2003-11-01,3.0,4.0
0061040967,The Last Hero,"['Terry Pratchett', 'Paul Kidby']",Harper,2001-10-16,4.0,36.0
0061050474,Jingo,['Terry Pratchett'],Harper Voyager,1998-05-19,3.5,59.0
0061052515,Maskerade,['Terry Pratchett'],Harper Voyager,1997-09-12,,
0061052523,Interesting Times,['Terry Pratchett'],Victor Gollancz,1994,3.5,31.0
0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God",['Louise Rennison'],Harper Collins,2002-05-14,4.5,8.0
0140620664,Mansfield Park,['Jane Austen'],,1994,3.0,2.0
0312148267,The Wind in the Willows,['Kenneth Grahame'],Macmillan,1996-10-15,,
0312156960,The Winter King,['Bernard Cornwell'],St. Martin's Griffin,1995,4.0,12.0
0312890044,Moonheart,['Charles de Lint'],Macmillan,1994-02-15,3.5,17.0
034543191X,The King of Elfland's Daughter,['Lord Dunsany'],National Geographic Books,1999-07-06,3.5,18.0
0373836023,Powder And Patch,['Georgette Heyer'],Harlequin,2004-02-01,3.0,13.0
0375751513,The Picture of Dorian Gray,['Oscar Wilde'],Modern Library,1998,4.0,2238.0
0375801677,The Iron Giant,['Ted Hughes'],Cambridge University Press,1999,4.0,20.0
0375814248,James and the Giant Peach,['Roald Dahl'],Knopf Books for Young Readers,2002,4.0,140.0
0375823352,His Dark Materials: The Amber Spyglass (Book 3),['Philip Pullman'],National Geographic Books,2002-09-10,3.5,187.0
037582345X,His Dark Materials: The Golden Compass (Book 1),['Philip Pullman'],Knopf Books for Young Readers,2002-09-10,5.0,2.0
0375823468,His Dark Materials: The Subtle Knife (Book 2),['Philip Pullman'],National Geographic Books,2002-09-10,3.5,154.0
0380730448,Adrian Mole Diaries,['Sue Townsend'],Harper Collins,1997-09,,
0380973839,The Martian Chronicles,['Ray Bradbury'],Harper Collins,1997-02-01,4.0,176.0
0385327773,The Great God Pan,['Donna Jo Napoli'],Wendy Lamb,2003,5.0,1.0
0394586239,Possession,['Antonia Susan Byatt'],,2004,4.0,128.0
0439510112,Born Confused,['Tanuja Desai Hidier'],Scholastic Inc.,2003,4.0,24.0
0440241413,Confessions of a Shopaholic,['Sophie Kinsella'],Dell Publishing Company,2003-11-01,3.0,2958.0
0451409256,Making Minty Malone,['Isabel Wolff'],Onyx Books,2000,3.0,4.0
0451523415,Little Women,['Louisa May Alcott'],Signet Classics,1983,4.0,1.0
0451526279,Emma,['Jane Austen'],Signet Classics,1996,4.0,9.0
0451526341,Animal Farm,['George Orwell'],National Geographic Books,2004-04-06,4.0,1822.0
0486415864,Great Expectations,['Charles Dickens'],Courier Corporation,2001-08-01,4.5,3.0
0553280589,Eva Luna,['Isabel Allende'],Bantam,1989,3.5,24.0
0571197639,The Poisonwood Bible,['Barbara Kingsolver'],,1998,4.0,283.0
0670035262,The Green Man,"['Ellen Datlow', 'Terri Windling']",Viking Juvenile,2002,4.5,7.0
0679423079,Nicholas Nickleby,['Charles Dickens'],National Geographic Books,1993-10-26,,
0679751343,Angels & Insects,['A. S. Byatt'],Vintage,1994-03-29,3.5,8.0
0684833395,Catch-22,['Joseph Heller'],Simon & Schuster,1994,4.0,8.0
0743245024,The Forsyte Saga,['John Galsworthy'],Touchstone,2002-09-03,3.5,6.0
0749748028,The Folk of the Faraway Tree,"['Enid Blyton', 'Jill Newton']",,2002-01,4.5,5.0
0963094424,Angels & Visitations,['Neil Gaiman'],Dreamhaven Books,1993,4.0,3.0
1401201172,The League of Extraordinary Gentlemen,"['Alan Moore', ""Kevin O'Neill""]",Wildstorm,2003,3.5,41.0
1563898586,The League of Extraordinary Gentlemen,['Alan Moore'],,2000,3.5,27.0
156971620X,Harlequin Valentine,"['Neil Gaiman', 'John Bolton']",Dark Horse Comics,2001,3.0,1.0
1592571301,Alpha Teach Yourself American Sign Language in 24 Hours,['Trudy Suggs'],,2003,,
0374270325,A Man in Full,['Tom Wolfe'],"Farrar, Straus and Giroux",1998-11-12,3.0,22.0
0375719180,The Miracle Life of Edgar Mint,['Brady Udall'],Vintage Books,2002,3.5,24.0
0440235502,October Sky,['Homer Hickam'],National Geographic Books,1999-02-16,4.0,1.0
044023722X,A Painted House,['John Grisham'],Dell Publishing Company,2002,4.0,84.0
1573225487,The Romance Reader,['Pearl Abraham'],National Geographic Books,1996-09-01,4.0,13.0
1853260673,Far from the Madding Crowd,['Thomas Hardy'],Wordsworth Editions,1993,2.5,2.0
0060977477,The Perfect Storm,['Sebastian Junger'],Harper Collins,1999-10,4.0,56.0
0345391691,The Battle for God,['Karen Armstrong'],Ballantine Books,2001,3.5,15.0
0520011171,Sappho,['Sappho'],Univ of California Press,1958,4.0,2.0
0553278746,The Postman,['David Brin'],Spectra,1997,3.5,40.0
0670856045,The Tortilla Curtain,"['T. Coraghessan Boyle', 'Thomas John Boyle']",Viking Adult,1995,3.5,54.0
0872200760,Symposium,['Plato'],Hackett Publishing Company Incorporated,1989,,
0937858994,The What's Happening to My Body? Book for Boys,"['Lynda Madaras', 'Dane Saavedra']",,1987,,
0671649949,The Object of My Affection,['Stephen McCauley'],,1988,4.0,3.0
0064470113,Taking the Ferry Home,['Pam Conrad'],Trophy Press,1990,,
0553571486,Angel of Hope,['Lurlene McDaniel'],Laurel Leaf,2000,,
0312963009,Neanderthal,['John Darnton'],St. Martin's Paperbacks,1997-05-15,3.0,9.0
0345430476,A Small Dark Place,['Martin Schenk'],Ballantine Books,1999,,
0345435869,The Rivan Codex,"['David Eddings', 'Leigh Eddings']",National Geographic Books,1999-11-02,3.0,1.0
0380728729,Babyhood,['Paul Reiser'],Harper Collins,1998-08,4.0,3.0
038081840X,Year's Best Fantasy,"['David G. Hartwell', 'Kathryn Cramer']",Harper Collins,2001-07-03,,
0449912302,Dave Barry in Cyberspace,['Dave Barry'],Ballantine Books,1997,3.5,6.0
0671018930,The War in Heaven,['Theodore Beale'],,2000,,
0812541642,Waiting,['Frank M. Robinson'],Tor Books,2000-04-15,,
0312988699,Nowhere to Run,['Mary Jane Clark'],Macmillan,2004-07-11,3.0,2.0
8483007010,El gust amarg de la cervesa,['Isabel-Clara Simó'],,1999,,
0385313748,All Our Yesterdays,['Robert B. Parker'],,1994,4.5,2.0
1575843366,What Shall I Be?,['Rita Balducci'],Reader's Digest Children's Books,1999,,
0684193957,All That Remains,['Patricia Cornwell'],Simon and Schuster,1992-08-17,4.0,3.0
0345371984,Last Chance to See,"['Douglas Adams', 'Mark Carwardine']",National Geographic Books,1992-10-13,4.5,43.0
0380730138,Vinegar Hill,['A. Manette Ansay'],Harper Perennial,2001,3.0,31.0
1573228737,Affinity,['Sarah Waters'],National Geographic Books,2002-01-08,3.5,67.0
9681500555,Diario de Ana Frank,['Anne Frank'],Editores Mexicanos Unidos-Mex,1997-10-01,,
0380711109,Desert Notes,['Barry Holstun Lopez'],Quill,1990,3.5,4.0
